index,Company,City,Industry,Percentage,Date,Funds_Raised,Stage,Country,Laid_Off_Count,strength,Reason,Year,Month,Quarters,category_label_encoded
3107,TripAdvisor,Boston,Travel,0.25,2020-04-28,3.0,Post-IPO,United States,900.0,3600.0,layoff_permanent,2020,April,2020Q2,4
3111,OpenX,Los Angeles,Marketing,0.15,2020-04-28,70.0,Unknown,United States,35.0,233.0,layoff_permanent,2020,April,2020Q2,19
3116,Automation Anywhere,SF Bay Area,Other,0.1,2020-04-27,840.0,Series B,United States,260.0,2600.0,layoff_permanent,2020,April,2020Q2,31
3142,Ike,SF Bay Area,Transportation,0.14,2020-04-22,52.0,Series A,United States,10.0,71.0,closure_permanent,2020,April,2020Q2,31
3160,GumGum,Los Angeles,Marketing,0.25,2020-04-20,58.0,Series D,United States,90.0,360.0,layoff_permanent,2020,April,2020Q2,19
3165,Forward,SF Bay Area,Healthcare,0.03,2020-04-20,100.0,Series C,United States,10.0,333.0,closure_permanent,2020,April,2020Q2,31
3170,Greenhouse,New York City,Recruiting,0.28,2020-04-17,110.0,Series D,United States,120.0,429.0,closure_permanent,2020,April,2020Q2,25
3177,Tor,Boston,Security,0.37,2020-04-17,1.0,Unknown,United States,13.0,35.0,closure_permanent,2020,April,2020Q2,4
3191,Opendoor,SF Bay Area,Real Estate,0.35,2020-04-15,1500.0,Series E,United States,600.0,1714.0,layoff_permanent,2020,April,2020Q2,31
3192,GoPro,SF Bay Area,Consumer,0.2,2020-04-15,288.0,Post-IPO,United States,200.0,1000.0,layoff_permanent,2020,April,2020Q2,31
3194,Zume,SF Bay Area,Food,0.67,2020-04-15,423.0,Unknown,United States,200.0,299.0,closure_permanent,2020,April,2020Q2,31
3195,Carta,SF Bay Area,Finance,0.16,2020-04-15,447.0,Series E,United States,161.0,1006.0,layoff_permanent,2020,April,2020Q2,31
3204,The RealReal,SF Bay Area,Retail,0.1,2020-04-14,358.0,Post-IPO,United States,235.0,2350.0,closure_permanent,2020,April,2020Q2,31
3206,Envoy,SF Bay Area,HR,0.3,2020-04-14,59.0,Series B,United States,58.0,193.0,layoff_temporary,2020,April,2020Q2,31
3213,Groupon,Chicago,Retail,0.44,2020-04-13,1400.0,Post-IPO,United States,2800.0,6364.0,layoff_permanent,2020,April,2020Q2,8
3214,Zoox,SF Bay Area,Transportation,0.1,2020-04-13,955.0,Series B,United States,100.0,1000.0,layoff_permanent,2020,April,2020Q2,31
3227,Yelp,SF Bay Area,Consumer,0.17,2020-04-09,56.0,Post-IPO,United States,1000.0,5882.0,layoff_temporary,2020,April,2020Q2,31
3233,Clinc,Ann Arbor,Support,0.32,2020-04-09,59.0,Series B,United States,40.0,125.0,closure_permanent,2020,April,2020Q2,0
3244,Unison,SF Bay Area,Finance,0.45,2020-04-08,40.0,Series B,United States,89.0,198.0,closure_permanent,2020,April,2020Q2,31
3245,Lever,SF Bay Area,Recruiting,0.4,2020-04-08,72.0,Series C,United States,86.0,215.0,layoff_temporary,2020,April,2020Q2,31
3247,Button,New York City,Marketing,0.35,2020-04-08,64.0,Series C,United States,48.0,137.0,layoff_temporary,2020,April,2020Q2,25
3262,Toast,Boston,Food,0.5,2020-04-07,902.0,Series F,United States,1300.0,2600.0,down_sizing,2020,April,2020Q2,4
3265,Redfin,Seattle,Real Estate,0.07,2020-04-07,319.0,Post-IPO,United States,236.0,3371.0,layoff_temporary,2020,April,2020Q2,36
3270,Away,New York City,Retail,0.1,2020-04-07,181.0,Series D,United States,60.0,600.0,down_sizing,2020,April,2020Q2,25
3277,Metromile,SF Bay Area,Finance,0.33,2020-04-06,293.0,Series E,United States,100.0,303.0,layoff_permanent,2020,April,2020Q2,31
3289,Astra,SF Bay Area,Aerospace,0.25,2020-04-05,100.0,Unknown,United States,40.0,160.0,layoff_permanent,2020,April,2020Q2,31
3294,Minted,SF Bay Area,Retail,0.37,2020-04-03,297.0,Series E,United States,147.0,397.0,closure_permanent,2020,April,2020Q2,31
3317,Katerra,SF Bay Area,Construction,0.03,2020-04-02,1200.0,Series D,United States,240.0,8000.0,changed_business,2020,April,2020Q2,31
3318,Ritual,Toronto,Food,0.54,2020-04-02,112.0,Series C,Canada,196.0,363.0,closure_permanent,2020,April,2020Q2,41
3319,ClassPass,New York City,Fitness,0.22,2020-04-02,549.0,Series E,United States,154.0,700.0,layoff_permanent,2020,April,2020Q2,25
3348,Earnin,SF Bay Area,Finance,0.2,2020-04-01,190.0,Series C,United States,50.0,250.0,layoff_permanent,2020,April,2020Q2,31
3366,Rover,Seattle,Consumer,0.41,2020-03-31,310.0,Series G,United States,194.0,473.0,layoff_temporary,2020,March,2020Q1,36
3380,Thumbtack,SF Bay Area,Consumer,0.3,2020-03-30,423.0,Series F,United States,250.0,833.0,layoff_permanent,2020,March,2020Q1,31
3384,PeerStreet,Los Angeles,Finance,0.3,2020-03-30,110.0,Series C,United States,51.0,170.0,down_sizing,2020,March,2020Q1,19
3393,ZipRecruiter,Los Angeles,Recruiting,0.39,2020-03-29,219.0,Series B,United States,400.0,1026.0,layoff_temporary,2020,March,2020Q1,19
3400,Bird,Los Angeles,Transportation,0.3,2020-03-27,623.0,Series D,United States,406.0,1353.0,down_sizing,2020,March,2020Q1,19
3406,Knotel,New York City,Real Estate,0.3,2020-03-27,560.0,Series C,United States,127.0,423.0,layoff_permanent,2020,March,2020Q1,25
3412,Bench,Vancouver,Finance,0.1,2020-03-27,49.0,Series B,Canada,47.0,470.0,closure_permanent,2020,March,2020Q1,42
3431,TripActions,SF Bay Area,Travel,0.25,2020-03-25,981.0,Series D,United States,300.0,1200.0,layoff_permanent,2020,March,2020Q1,31
3438,Overtime,New York City,Media,0.23,2020-03-25,35.0,Series B,United States,30.0,130.0,closure_temporary,2020,March,2020Q1,25
3439,Jama,Portland,Product,0.05,2020-03-25,233.0,Unknown,United States,12.0,240.0,layoff_temporary,2020,March,2020Q1,29
3445,Sonder,SF Bay Area,Travel,0.33,2020-03-24,359.0,Series D,United States,400.0,1212.0,layoff_temporary,2020,March,2020Q1,31
3448,Zeus Living,SF Bay Area,Real Estate,0.3,2020-03-24,79.0,Series B,United States,80.0,267.0,layoff_permanent,2020,March,2020Q1,31
3455,Leafly,Seattle,Retail,0.5,2020-03-23,2.0,Acquired,United States,91.0,182.0,down_sizing,2020,March,2020Q1,36
3456,The Guild,Austin,Travel,0.22,2020-03-23,36.0,Series B,United States,38.0,173.0,layoff_temporary,2020,March,2020Q1,1
3481,HopSkipDrive,Los Angeles,Transportation,0.1,2020-03-13,45.0,Unknown,United States,8.0,80.0,layoff_permanent,2020,March,2020Q1,19
